,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-04-09,568.56,576.32,567.0,576.0,576.0,4879272,0.0000,1.0,532.4240,541.0856,58.9646,89.3393,88.8575,7.6193,9.4957,1.8764,15.3397,152.3324,95.0000,50.0000,532.4240,487.3190,577.5290,1020549221.8036,3318815592.0000
2021-04-08,570.11,578.86,569.9577,572.68,572.68,6110373,0.0000,1.0,529.6110,537.4104,58.3489,90.8108,87.2342,7.4881,7.4597,-0.0284,15.4019,186.4332,100.0000,55.0000,529.6110,488.9267,570.2953,1016005007.1084,3313936320.0000
2021-04-07,555.23,569.7399,548.46,565.74,565.74,6282109,0.0000,1.0,525.9135,533.6978,57.0697,93.2764,91.9261,6.9911,5.0906,-1.9004,15.3712,169.0653,100.0000,0.0000,525.9135,488.2271,563.5999,1018378308.0218,3307825947.0000
2021-04-06,559.9871,562.165,550.9449,554.46,554.46,4793649,0.0000,1.0,522.6670,530.3250,54.9326,90.8025,93.2720,6.3476,2.6994,-3.6482,15.5567,170.4216,100.0000,0.0000,522.6670,488.2154,557.1186,1014457846.1902,3301543838.0000
2021-04-05,554.7,560.5585,549.32,559.5,559.5,6391785,0.0000,1.0,518.1231,527.7844,56.1184,84.2073,94.6311,5.9916,0.7565,-5.2351,15.9394,196.1595,100.0000,5.0000,518.1231,478.1184,558.1278,1016247929.1614,3306337487.0000
2021-04-01,542.89,554.8,540.45,552.47,552.47,7706865,0.0000,1.0,515.0631,524.4460,54.8263,72.7963,84.5045,4.4855,-2.2475,-6.7330,16.3819,191.4590,100.0000,10.0000,515.0631,479.0202,551.1061,1011060166.8375,3299945702.0000
2021-03-31,520.62,538.82,519.3,533.93,533.93,7869438,0.0000,1.0,512.1722,521.4961,51.2281,59.8549,73.4865,2.5212,-5.3332,-7.8544,16.9877,112.0056,45.0000,15.0000,512.1722,479.4746,544.8699,1005856018.9734,3292238837.0000
2021-03-30,513.678,519.01,508.2,514.87,514.87,5005062,0.0000,1.0,511.0771,520.1872,47.1140,44.0135,60.3981,1.1784,-7.3063,-8.4847,17.7273,16.4241,0.0000,20.0000,511.0771,479.9377,542.2164,1001929362.9221,3284369399.0000
2021-03-29,512.81,522.5,508.0,517.93,517.93,6837997,0.0000,1.0,512.1375,520.7469,47.7281,32.9760,45.6801,1.0014,-7.7779,-8.7793,17.9264,18.4184,0.0000,25.0000,512.1375,479.1632,545.1118,1000757965.4328,3289374461.0000
2021-03-26,502.18,514.25,494.94,513.57,513.57,9099224,0.0000,1.0,513.9156,521.0435,46.7894,31.3221,25.9623,0.4514,-8.5783,-9.0296,18.1359,-33.6180,5.0000,30.0000,513.9156,476.3656,551.4657,998230264.4728,3282536464.0000
2021-03-25,499.98,508.59,490.88,501.41,501.41,7378614,0.0000,1.0,515.6574,521.8301,44.1310,38.6871,27.2858,0.1114,-9.0311,-9.1425,18.1052,-71.9972,0.0000,35.0000,515.6574,475.2131,556.1017,989771897.2641,3273437240.0000
2021-03-24,526.05,526.365,505.47,505.72,505.72,6145963,0.0000,1.0,517.1934,523.9796,44.8861,41.1507,40.7184,0.9308,-8.2396,-9.1703,17.8975,-26.4718,0.0000,40.0000,517.1934,476.6967,557.6900,988376168.4724,3280815854.0000
2021-03-23,530.17,533.78,520.85,522.83,522.83,5551152,0.0000,1.0,520.8961,525.9017,47.9823,41.1019,48.0572,1.8547,-7.5483,-9.4030,17.9817,16.1610,5.0000,45.0000,520.8961,472.5009,569.2913,994375063.6811,3286961817.0000
2021-03-22,516.51,535.78,516.27,527.45,527.45,7445077,0.0000,1.0,523.0296,526.2250,48.8465,44.5082,34.6766,1.5684,-8.2983,-9.8667,18.4220,11.7795,0.0000,50.0000,523.0296,470.8661,575.1931,998226094.8830,3292512969.0000
2021-03-19,510.0,516.86,504.5,513.83,513.83,7480174,0.0000,1.0,525.3594,526.0961,46.1289,61.7398,40.5720,0.6536,-9.6053,-10.2588,18.8854,-42.4188,0.0000,55.0000,525.3594,468.6500,582.0688,997138525.9721,3285067892.0000
