,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2021-04-16,241.89,241.89,237.82,238.69,238.69,14418796,0.0000,1.0,232.1050,234.3283,50.9136,56.3253,72.6529,2.0929,-0.0679,-2.1608,15.3486,79.4598,30.0000,85.0000,232.1050,245.4929,218.7171,642644611.5385,899420740.0000
2021-04-15,240.0,240.95,238.1268,239.09,239.09,11288944,0.0000,1.0,231.9920,233.8692,51.1430,76.9389,76.0139,2.2210,-0.4630,-2.6840,15.6079,81.7522,35.0000,90.0000,231.9920,245.1925,218.7915,650899106.5458,913839536.0000
2021-04-14,244.37,245.09,238.65,239.23,239.23,12405169,0.0000,1.0,231.7045,233.3197,51.2197,84.6946,69.8293,2.2378,-1.0014,-3.2392,15.9449,112.4121,40.0000,95.0000,231.7045,244.5189,218.8901,654485081.6731,925128480.0000
2021-04-13,243.66,245.69,239.69,241.89,241.89,20793040,0.0000,1.0,231.0895,232.6975,52.6453,66.4083,53.7713,2.1104,-1.6883,-3.7987,16.2580,149.0670,45.0000,100.0000,231.0895,243.5767,218.6023,664655779.2383,937533649.0000
2021-04-12,237.89,244.91,236.65,244.01,244.01,57500267,0.0000,1.0,230.5090,231.7299,53.7786,58.3851,51.1734,1.5151,-2.8112,-4.3263,16.5073,173.0664,50.0000,100.0000,230.5090,241.9712,219.0468,670200589.9049,958326689.0000
2021-04-09,224.85,225.07,221.32,223.31,223.31,19763033,0.0000,1.0,229.9020,230.4373,42.2462,36.5204,47.6785,0.2856,-4.4195,-4.7051,16.8162,-118.7632,55.0000,0.0000,229.9020,239.5883,220.2157,625230647.4328,900826422.0000
2021-04-08,228.5,229.42,226.62,228.24,228.24,12211328,0.0000,1.0,230.7765,231.1875,44.7737,58.6146,51.7332,0.4762,-4.3003,-4.7765,16.7677,-43.8025,60.0000,5.0000,230.7765,241.0637,220.4893,624018514.7421,920589455.0000
2021-04-07,226.11,228.19,224.8,225.42,225.42,18034852,0.0000,1.0,231.0795,231.4978,42.9179,47.9004,44.8502,0.3080,-4.5875,-4.8956,17.0962,-79.0298,65.0000,10.0000,231.0795,241.4070,220.7520,622099591.7707,908378127.0000
2021-04-06,226.03,232.0,225.74,230.57,230.57,18100363,0.0000,1.0,231.7155,232.1375,45.5750,48.6845,44.2181,0.3722,-4.6003,-4.9726,17.3272,-35.2750,70.0000,15.0000,231.7155,242.1368,221.2942,633537624.7500,926412979.0000
2021-04-05,226.53,226.57,222.52,225.3,225.3,14962135,0.0000,1.0,231.5215,232.3025,42.0896,37.9657,45.8050,-0.0085,-5.0741,-5.0656,17.6372,-104.7698,75.0000,20.0000,231.5215,242.1630,220.8800,623706756.6670,908312616.0000
2021-04-01,230.68,231.25,223.5,224.36,224.36,23497464,0.0000,1.0,231.9510,233.0396,41.4543,46.0043,48.7742,-0.0049,-5.0684,-5.0635,17.4558,-92.8131,80.0000,25.0000,231.9510,242.2410,221.6610,618128281.6423,893350481.0000
2021-03-31,229.89,231.52,226.47,226.73,226.73,16825400,0.0000,1.0,232.2580,233.9533,42.5730,53.4451,43.3795,0.1705,-4.8918,-5.0623,17.3275,-70.8051,85.0000,30.0000,232.2580,241.9741,222.5419,636410824.5997,916847945.0000
2021-03-30,229.27,230.45,226.64,229.25,229.25,14828659,0.0000,1.0,232.7350,234.7136,43.7660,46.8732,29.6786,0.2684,-4.8365,-5.1049,17.3836,-67.7843,90.0000,35.0000,232.7350,242.2534,223.2166,651503708.1641,933673345.0000
