,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2021-04-16,134.3,134.67,133.28,134.16,134.16,84922386,0.0000,1.0,126.1988,128.3296,59.7111,75.3010,77.5087,2.5954,1.2468,1.3486,18.7839,113.2876,95.0000,40.0000,115.5323,136.8652,126.1988,77358519587.1909,94820312492.0000
2021-04-15,133.82,135.0,133.64,134.5,134.5,89347102,0.0000,1.0,125.5173,127.7158,60.2479,80.9030,82.8914,2.4043,1.3674,1.0369,18.7367,135.5503,100.0000,45.0000,115.2379,135.7966,125.5173,77335914347.7521,94905234878.0000
2021-04-14,134.94,135.0,131.655,132.03,132.03,87222782,0.0000,1.0,125.0303,127.0017,57.6187,76.3220,86.6331,2.0908,1.3957,0.6951,18.6066,137.2389,100.0000,50.0000,115.6125,134.4480,125.0303,77312263644.2815,94815887776.0000
2021-04-13,132.44,134.66,131.93,134.43,134.43,91266545,0.0000,1.0,124.7073,126.4724,61.3651,91.4493,94.4006,1.9117,1.5656,0.3462,18.4698,175.9343,100.0000,55.0000,115.8453,133.5692,124.7073,77379929748.7030,94903110558.0000
2021-04-12,132.52,132.85,130.63,131.24,131.24,91419983,0.0000,1.0,124.1853,125.6348,57.9093,92.1280,95.9398,1.4110,1.4562,-0.0452,18.3713,170.6200,95.0000,60.0000,116.5275,131.8430,124.1853,77304041449.3807,94811844013.0000
2021-04-09,129.8,133.04,129.47,132.995,132.995,106686703,0.0000,1.0,123.6748,125.0447,60.7494,99.6245,96.8990,1.0762,1.4855,-0.4093,18.5144,215.8683,100.0000,65.0000,116.6295,130.7200,123.6748,77345221621.9032,94903263996.0000
2021-04-08,128.95,130.39,128.52,130.36,130.36,88844591,0.0000,1.0,123.1230,124.2079,57.7972,96.0668,92.9277,0.4544,1.2351,-0.7807,18.6650,218.9826,100.0000,70.0000,117.4987,128.7473,123.1230,77241224499.6511,94796577293.0000
2021-04-07,125.83,127.92,125.14,127.9,127.9,83466716,0.0000,1.0,122.6040,123.5603,54.7807,95.0057,88.1118,-0.0774,1.0120,-1.0894,19.1979,171.5760,100.0000,0.0000,117.9076,127.3004,122.6040,77155230537.2393,94707732702.0000
2021-04-06,126.5,127.13,125.65,126.21,126.21,80171253,0.0000,1.0,122.2633,123.1035,52.5681,87.7107,75.7947,-0.5047,0.8378,-1.3424,20.1473,177.7036,30.0000,0.0000,118.2081,126.3184,122.2633,77072964781.1818,94624265986.0000
2021-04-05,123.87,126.1601,123.07,125.9,125.9,88651175,0.0000,1.0,121.7708,122.7765,52.1602,81.6191,62.4214,-0.8706,0.6813,-1.5519,21.1379,144.0255,35.0000,5.0000,117.3744,126.1671,121.7708,77092465896.7764,94544094733.0000
2021-04-01,123.66,124.18,122.49,123.0,123.0,75089134,0.0000,1.0,121.5468,122.4477,48.2013,58.0543,48.0168,-1.2934,0.4289,-1.7222,22.0197,81.4271,40.0000,10.0000,117.5791,125.5144,121.5468,77018738621.0790,94455443558.0000
