,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2021-03-04,512.03,519.0,483.35,494.81,494.651967383,14333629,0.0000,1.0,566.5530,551.2141,39.3124,10.2213,20.3801,3.5195,-10.6586,-7.1391,15.5228,-178.9948,100.0000,40.0000,503.0688,566.5530,630.0372,985914482.1530,3261651403.0000
2021-03-03,537.05,538.06,511.95,512.19,512.026416552,9439757,0.0000,1.0,568.8728,557.1680,41.9833,21.1911,25.7635,6.1841,-8.7962,-2.6121,14.6502,-142.2858,100.0000,45.0000,513.1513,568.8728,624.5942,991032773.7990,3275985032.0000
2021-03-02,556.0,556.82,535.84,536.25,536.078732259,6602853,0.0000,1.0,570.3763,561.9198,46.1027,29.7279,29.0015,8.3832,-6.9481,1.4351,14.2346,-82.9632,0.0000,50.0000,519.4555,570.3763,621.2970,1000298992.5621,3285424789.0000
2021-03-01,555.0,557.0,542.1299,553.67,553.493168653,8829575,0.0000,1.0,570.0379,564.6399,49.4392,26.3715,31.0648,10.1202,-5.9893,4.1309,14.3098,-53.7743,5.0000,55.0000,518.1296,570.0379,621.9462,1006643774.0912,3292027642.0000
2021-02-26,550.1,554.18,534.44,548.58,548.404794299,12468975,0.0000,1.0,568.3344,565.8132,48.4027,30.9050,34.0561,11.6175,-5.8789,5.7386,14.5380,-61.0503,10.0000,60.0000,512.2945,568.3344,624.3743,1001768777.0360,3283198067.0000
2021-02-25,561.8167,574.99,528.65,532.3,532.129993812,20304906,0.0000,1.0,567.0079,567.6457,44.9750,35.9180,33.5367,13.0872,-4.8621,8.2252,14.6970,-56.5881,0.0000,65.0000,507.9678,567.0079,626.0479,996374397.7810,3270729092.0000
2021-02-24,564.91,580.27,550.24,579.96,579.774772142,11207977,0.0000,1.0,566.2286,571.3842,55.1675,35.3452,30.3263,14.3028,-1.3664,12.9364,14.8644,11.6754,5.0000,70.0000,504.9971,566.2286,627.4601,1013480645.7358,3291033998.0000
2021-02-23,563.01,569.55,535.58,565.68,565.499332894,9794483,0.0000,1.0,564.1018,570.5009,52.0760,29.3470,33.0649,14.6443,-0.7341,13.9103,15.5403,-16.8215,10.0000,75.0000,501.9520,564.1018,626.2516,1002504068.8602,3279826021.0000
2021-02-22,590.99,605.33,573.0,574.23,574.046602192,8041814,0.0000,1.0,563.1246,571.0274,54.2019,26.2868,43.6086,14.8279,1.5767,16.4046,15.9655,49.0095,15.0000,80.0000,500.4808,563.1246,625.7684,994941240.2147,3289620504.0000
2021-02-19,600.98,607.0799,593.868,597.06,596.869310737,6793103,0.0000,1.0,561.8385,570.7096,60.4631,43.5610,60.4008,14.4337,4.0456,18.4793,16.1524,90.2014,20.0000,85.0000,499.0884,561.8385,624.5886,1002371150.0255,3297662318.0000
