,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2021-03-25,119.54,121.66,119.0,120.59,120.59,98844681,0.0000,1.0,121.9823,122.9842,44.3112,32.2382,28.5856,-2.0964,0.2500,-1.8464,23.1755,-64.9754,35.0000,15.0000,117.0085,121.9823,126.9560,76986091746.1619,94172812080.0000
2021-03-24,122.82,122.9,120.065,120.09,120.09,88530485,0.0000,1.0,122.0023,123.2362,43.6274,30.5330,34.8838,-2.1589,0.3032,-1.8557,23.1452,-47.9633,40.0000,20.0000,117.0479,122.0023,126.9566,76966768725.8160,94073967399.0000
2021-03-23,123.33,124.24,122.14,122.54,122.54,95467142,0.0000,1.0,122.2653,123.5674,46.2721,28.9775,33.2451,-2.2347,0.4450,-1.7897,23.2388,22.2511,45.0000,25.0000,117.1879,122.2653,127.3426,77053737826.6009,94162497884.0000
2021-03-22,120.33,123.87,120.26,123.39,123.39,111912284,0.0000,1.0,122.4313,123.6755,47.2155,36.3407,23.4701,-2.3459,0.4170,-1.9289,23.5915,2.7628,50.0000,0.0000,117.1173,122.4313,127.7452,77112836533.5532,94257965026.0000
2021-03-19,119.9,121.43,119.675,119.99,119.99,185549522,0.0000,1.0,122.5618,123.7056,42.7828,56.1635,30.2171,-2.4502,0.2852,-2.1650,23.8983,-77.5115,55.0000,0.0000,117.0360,122.5618,128.0875,77030684856.9327,94146052742.0000
2021-03-18,122.88,123.18,120.32,120.53,120.53,121469755,0.0000,1.0,123.0558,124.0967,43.3318,73.6682,55.3350,-2.5215,0.4328,-2.0887,23.7842,-53.0523,60.0000,5.0000,116.8174,123.0558,129.2941,77149626858.2148,94331602264.0000
2021-03-17,124.05,125.8599,122.336,124.76,124.76,111932636,0.0000,1.0,123.5148,124.4721,47.9070,83.0908,82.9385,-2.6297,0.6138,-2.0159,23.7342,21.3758,65.0000,0.0000,116.7580,123.5148,130.2715,77253258397.4456,94453072019.0000
2021-03-16,125.7,127.22,124.715,125.57,125.57,115227936,0.0000,1.0,123.8188,124.4418,48.8452,77.8907,82.7312,-2.7831,0.4588,-2.3243,23.9056,46.2244,70.0000,0.0000,116.3551,123.8188,131.2824,77211199881.7875,94565004655.0000
2021-03-15,121.41,124.0,120.42,123.99,123.99,92590555,0.0000,1.0,124.1998,124.3230,46.9189,70.8107,83.6027,-2.8978,0.1311,-2.7667,24.3694,-28.8199,75.0000,5.0000,115.7100,124.1998,132.6895,77247769226.7455,94449776719.0000
2021-03-12,120.4,121.17,119.16,121.03,121.03,88105050,0.0000,1.0,124.7688,124.3581,43.1059,54.4465,67.3383,-2.9306,-0.1996,-3.1302,24.2801,-74.8410,80.0000,0.0000,114.9847,124.7688,134.5528,77155695937.4159,94357186164.0000
2021-03-11,122.54,123.21,121.26,121.96,121.96,103026514,0.0000,1.0,125.4738,124.7084,44.0504,41.6719,61.4912,-2.8807,-0.3666,-3.2473,23.6121,-53.5813,85.0000,0.0000,114.8712,125.4738,136.0763,77079864227.7144,94445291214.0000
