,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2021-04-22,228.765,234.0,227.8201,229.35,229.35,11986213,0.0000,1.0,231.0690,233.1181,45.7027,15.8446,16.9124,-1.0588,0.2316,-1.2904,13.0969,-10.6761,65.0000,10.0000,243.5591,231.0690,218.5789,640714100.5480,849808670.0000
2021-04-21,229.33,229.49,226.0701,229.44,229.44,14315893,0.0000,1.0,231.0810,233.5147,45.7536,22.5159,15.0999,-0.7971,0.5512,-1.3483,13.7841,-37.8686,70.0000,15.0000,243.5649,231.0810,218.5971,646765684.4217,861794883.0000
2021-04-20,232.87,234.63,228.4301,229.88,229.88,12093949,0.0000,1.0,231.4925,233.9436,45.9914,36.2577,15.5214,-0.4607,1.0254,-1.4861,14.1560,-9.8409,75.0000,20.0000,244.2720,231.4925,218.7130,632868397.0242,876110776.0000
2021-04-19,237.44,238.42,232.81,234.78,234.78,11216015,0.0000,1.0,231.8545,234.3714,48.6677,56.7302,36.9263,-0.0694,1.6731,-1.7425,14.7160,37.4938,80.0000,25.0000,244.8393,231.8545,218.8697,639305797.8041,888204725.0000
2021-04-16,241.89,241.89,237.82,238.69,238.69,14418796,0.0000,1.0,232.1050,234.3283,50.9136,72.6529,56.3253,-0.0679,2.0929,-2.1608,15.3486,79.4598,85.0000,30.0000,245.4929,232.1050,218.7171,642644611.5385,899420740.0000
2021-04-15,240.0,240.95,238.1268,239.09,239.09,11288944,0.0000,1.0,231.9920,233.8692,51.1430,76.0139,76.9389,-0.4630,2.2210,-2.6840,15.6079,81.7522,90.0000,35.0000,245.1925,231.9920,218.7915,650899106.5458,913839536.0000
2021-04-14,244.37,245.09,238.65,239.23,239.23,12405169,0.0000,1.0,231.7045,233.3197,51.2197,69.8293,84.6946,-1.0014,2.2378,-3.2392,15.9449,112.4121,95.0000,40.0000,244.5189,231.7045,218.8901,654485081.6731,925128480.0000
2021-04-13,243.66,245.69,239.69,241.89,241.89,20793040,0.0000,1.0,231.0895,232.6975,52.6453,53.7713,66.4083,-1.6883,2.1104,-3.7987,16.2580,149.0670,100.0000,45.0000,243.5767,231.0895,218.6023,664655779.2383,937533649.0000
2021-04-12,237.89,244.91,236.65,244.01,244.01,57500267,0.0000,1.0,230.5090,231.7299,53.7786,51.1734,58.3851,-2.8112,1.5151,-4.3263,16.5073,173.0664,100.0000,50.0000,241.9712,230.5090,219.0468,670200589.9049,958326689.0000
2021-04-09,224.85,225.07,221.32,223.31,223.31,19763033,0.0000,1.0,229.9020,230.4373,42.2462,47.6785,36.5204,-4.4195,0.2856,-4.7051,16.8162,-118.7632,0.0000,55.0000,239.5883,229.9020,220.2157,625230647.4328,900826422.0000
2021-04-08,228.5,229.42,226.62,228.24,228.24,12211328,0.0000,1.0,230.7765,231.1875,44.7737,51.7332,58.6146,-4.3003,0.4762,-4.7765,16.7677,-43.8025,5.0000,60.0000,241.0637,230.7765,220.4893,624018514.7421,920589455.0000
2021-04-07,226.11,228.19,224.8,225.42,225.42,18034852,0.0000,1.0,231.0795,231.4978,42.9179,44.8502,47.9004,-4.5875,0.3080,-4.8956,17.0962,-79.0298,10.0000,65.0000,241.4070,231.0795,220.7520,622099591.7707,908378127.0000
2021-04-06,226.03,232.0,225.74,230.57,230.57,18100363,0.0000,1.0,231.7155,232.1375,45.5750,44.2181,48.6845,-4.6003,0.3722,-4.9726,17.3272,-35.2750,15.0000,70.0000,242.1368,231.7155,221.2942,633537624.7500,926412979.0000
2021-04-05,226.53,226.57,222.52,225.3,225.3,14962135,0.0000,1.0,231.5215,232.3025,42.0896,45.8050,37.9657,-5.0741,-0.0085,-5.0656,17.6372,-104.7698,20.0000,75.0000,242.1630,231.5215,220.8800,623706756.6670,908312616.0000
2021-04-01,230.68,231.25,223.5,224.36,224.36,23497464,0.0000,1.0,231.9510,233.0396,41.4543,48.7742,46.0043,-5.0684,-0.0049,-5.0635,17.4558,-92.8131,25.0000,80.0000,242.2410,231.9510,221.6610,618128281.6423,893350481.0000
2021-03-31,229.89,231.52,226.47,226.73,226.73,16825400,0.0000,1.0,232.2580,233.9533,42.5730,43.3795,53.4451,-4.8918,0.1705,-5.0623,17.3275,-70.8051,30.0000,85.0000,241.9741,232.2580,222.5419,636410824.5997,916847945.0000
2021-03-30,229.27,230.45,226.64,229.25,229.25,14828659,0.0000,1.0,232.7350,234.7136,43.7660,29.6786,46.8732,-4.8365,0.2684,-5.1049,17.3836,-67.7843,35.0000,90.0000,242.2534,232.7350,223.2166,651503708.1641,933673345.0000
2021-03-29,225.49,232.38,225.1,231.86,231.86,18029105,0.0000,1.0,232.9935,235.2888,45.0070,22.8425,29.8203,-4.9521,0.2199,-5.1720,17.3461,-57.0581,0.0000,95.0000,242.3994,232.9935,223.5876,646015936.7231,948502004.0000
