,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-04-20,137.07,139.77,136.7,138.16,138.16,15480579,0.0000,1.0,133.9690,133.0623,63.9630,73.5264,60.7733,-0.2417,1.8178,2.0595,21.5381,188.8837,100.0000,0.0000,133.9690,130.0983,137.8397,405116296.4660,326943423.0000
2021-04-19,133.6,133.815,132.58,133.12,133.12,8198582,0.0000,1.0,133.5885,132.5257,56.2636,59.6764,47.1476,-0.5759,1.5439,2.1199,20.9162,-13.4714,30.0000,5.0000,133.5885,129.9514,137.2256,405872676.5475,311462844.0000
2021-04-16,133.0,134.1,132.95,133.59,133.59,5291756,0.0000,1.0,133.3775,132.4632,57.3491,49.1170,38.1698,-0.5787,1.6851,2.2638,21.3942,10.5000,35.0000,0.0000,133.3775,129.2058,137.5492,406901648.3774,319661426.0000
2021-04-15,133.28,133.87,132.22,132.58,132.58,3883955,0.0000,1.0,133.2010,132.3446,55.6003,32.6493,35.9166,-0.6156,1.7930,2.4085,21.7830,-6.8107,40.0000,0.0000,133.2010,128.7885,137.6135,406303449.8731,314369670.0000
2021-04-14,131.305,132.78,130.52,132.63,132.63,5868049,0.0000,1.0,133.0235,132.3198,55.7077,32.7432,44.6588,-0.5551,2.0073,2.5624,22.2448,-28.2455,45.0000,0.0000,133.0235,128.2542,137.7928,408492588.1458,318253625.0000
2021-04-13,133.0,133.62,130.38,131.18,131.18,8033530,0.0000,1.0,132.8040,132.2872,53.2177,42.3575,55.4645,-0.4545,2.2467,2.7012,22.9834,-27.1268,50.0000,5.0000,132.8040,127.5983,138.0097,403403483.7033,312385576.0000
2021-04-12,135.02,135.37,133.85,134.59,134.59,3753959,0.0000,1.0,132.6740,132.4037,60.8620,58.8756,60.0985,-0.1477,2.6671,2.8148,23.7608,55.6691,55.0000,0.0000,132.6740,127.1902,138.1578,407469838.3947,320419106.0000
2021-04-09,134.87,135.74,134.71,135.73,135.73,3023916,0.0000,1.0,132.3250,132.1736,63.7712,65.1604,60.5342,-0.0340,2.8178,2.8517,23.5071,81.2649,60.0000,5.0000,132.3250,126.4958,138.1542,407568626.7894,324173065.0000
2021-04-08,134.57,135.6299,134.16,135.12,135.12,4087228,0.0000,1.0,131.8955,131.7992,62.8690,56.2594,54.4105,-0.0072,2.8530,2.8602,22.9261,78.8416,65.0000,0.0000,131.8955,125.8705,137.9205,404603427.6050,321149149.0000
2021-04-07,133.84,134.94,133.78,134.93,134.93,2976136,0.0000,1.0,131.5330,131.4496,62.5934,60.1829,51.6638,0.0566,2.9186,2.8620,22.3341,77.2934,70.0000,0.0000,131.5330,125.4555,137.6105,403351872.1775,317061921.0000
