,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2021-04-13,63.02,64.08,62.92,63.82,63.82,5264929,0.0000,1.0,60.7910,61.0391,61.3522,45.6960,61.2705,0.2409,1.3540,1.1131,18.5896,116.9581,100.0000,0.0000,60.7910,64.6217,56.9603,2059324675.4028,3074865676.0000
2021-04-12,62.47,62.88,62.13,62.64,62.64,5003595,0.0000,1.0,60.4835,60.7464,58.7809,39.9995,41.5036,0.2153,1.2682,1.0529,18.1733,88.3608,75.0000,0.0000,60.4835,64.2794,56.6876,2056419886.9890,3069600747.0000
2021-04-09,62.08,62.6,61.845,62.47,62.47,3801019,0.0000,1.0,60.1415,60.5471,58.4021,47.9174,34.3139,0.2612,1.2603,0.9991,18.0498,87.9656,80.0000,5.0000,60.1415,64.3126,55.9704,2054618592.7890,3064597152.0000
2021-04-08,62.3,62.65,61.76,62.19,62.19,3948394,0.0000,1.0,59.8300,60.3447,57.7952,65.6001,44.1809,0.3154,1.2492,0.9338,17.9967,90.7660,85.0000,0.0000,59.8300,64.1854,55.4746,2052126533.9745,3060796133.0000
2021-04-07,62.69,62.69,61.43,61.76,61.76,5848300,0.0000,1.0,59.4875,60.1504,56.8773,80.4918,65.2575,0.3905,1.2454,0.8549,17.9407,89.7984,90.0000,0.0000,59.4875,64.1155,54.8595,2052259625.9070,3056847739.0000
2021-04-06,63.63,63.72,62.235,62.52,62.52,6396883,0.0000,1.0,59.2080,59.9810,59.0329,86.7365,87.3619,0.5089,1.2662,0.7573,17.8818,127.6193,95.0000,0.0000,59.2080,63.9276,54.4884,2055044530.6690,3062696039.0000
2021-04-05,63.35,63.98,62.5504,63.69,63.69,6672791,0.0000,1.0,58.7565,59.7137,62.4970,82.3631,88.8561,0.5669,1.1970,0.6301,17.5227,157.7407,100.0000,0.0000,58.7565,63.8363,53.6767,2058986044.4366,3069092922.0000
2021-04-01,61.4,63.2356,61.39,63.11,63.11,5210136,0.0000,1.0,58.2600,59.2952,61.4312,79.7354,83.9915,0.4838,0.9721,0.4883,17.0268,142.1179,100.0000,5.0000,58.2600,63.2543,53.2657,2055020457.3958,3062420131.0000
2021-03-31,60.84,62.67,60.75,61.24,61.24,8516830,0.0000,1.0,57.7715,58.8936,57.7537,72.9385,74.2418,0.3626,0.7299,0.3674,16.6662,122.3971,100.0000,10.0000,57.7715,62.6833,52.8597,2050519459.9758,3057209995.0000
2021-03-30,59.53,60.63,59.05,60.32,60.32,5400645,0.0000,1.0,57.4395,58.6466,55.7832,61.9922,80.9730,0.3239,0.6007,0.2767,16.4117,85.2214,95.0000,15.0000,57.4395,62.2655,52.6135,2054689157.9966,3048693165.0000
2021-03-29,60.8782,61.18,59.28,59.85,59.85,7090352,0.0000,1.0,57.2730,58.4705,54.7590,47.4968,63.6008,0.3248,0.5206,0.1958,16.6391,98.0632,100.0000,20.0000,57.2730,61.9163,52.6297,2051407753.4396,3043292520.0000
2021-03-26,58.15,60.93,58.04,60.83,60.83,7409597,0.0000,1.0,57.2045,58.3253,57.3921,45.3649,41.4028,0.3441,0.4587,0.1146,16.8018,101.1885,85.0000,25.0000,57.2045,61.7327,52.6763,2054243894.2396,3050382872.0000
2021-03-25,57.73,58.43,56.98,58.09,58.09,5705597,0.0000,1.0,56.9840,58.0616,51.1535,60.5893,37.4869,0.2446,0.2732,0.0285,17.0349,32.4165,90.0000,30.0000,56.9840,61.2036,52.7644,2047347072.1185,3042973275.0000
