,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2021-04-08,551.13,556.899,547.57,554.58,554.58,4309829,0.0000,1.0,524.5940,529.9399,57.9457,86.6898,84.4395,-0.5567,4.4220,4.9786,13.4355,167.2558,60.0000,100.0000,496.2825,552.9055,524.5940,1810867504.2134,1962790560.0000
2021-04-07,543.5,549.64,541.45,546.99,546.99,2151319,0.0000,1.0,522.0920,527.3463,55.9880,88.6869,85.1376,-1.8013,2.6437,4.4451,13.2871,157.4938,65.0000,95.0000,496.0708,548.1132,522.0920,1808700347.1934,1958480731.0000
2021-04-06,544.81,554.165,543.3,544.53,544.53,3474205,0.0000,1.0,520.0645,525.2785,55.3480,84.8899,90.4921,-2.9126,1.1084,4.0210,13.3441,191.0739,0.0000,100.0000,495.8638,544.2652,520.0645,1807941212.6501,1956329412.0000
2021-04-05,540.01,542.85,529.23,540.67,540.67,3355904,0.0000,1.0,517.5045,523.2520,54.3586,72.6028,90.4311,-3.9178,-0.6169,3.3009,13.3342,150.0312,5.0000,60.0000,493.3654,541.6436,517.5045,1810628805.1973,1952855207.0000
2021-04-01,529.93,540.5,527.03,539.42,539.42,3938637,0.0000,1.0,516.2905,521.4185,54.0454,54.2310,73.7466,-4.7431,-2.4170,2.3260,13.6603,160.8212,10.0000,65.0000,494.6175,537.9635,516.2905,1808347184.7097,1949499303.0000
2021-03-31,515.675,528.13,515.44,521.66,521.66,3503111,0.0000,1.0,514.8840,519.5237,49.3536,37.9130,53.6307,-5.3246,-4.5522,0.7724,14.0759,60.5107,15.0000,0.0000,495.9153,533.8527,514.8840,1805040133.1530,1945560666.0000
2021-03-30,510.505,514.41,506.91,513.39,513.39,2418129,0.0000,1.0,514.8360,519.2988,46.9580,29.3046,35.3159,-5.5177,-5.4029,0.1147,14.7234,-36.4207,20.0000,0.0000,495.9313,533.7407,514.8360,1805109146.3720,1942057555.0000
2021-03-29,505.66,518.0,504.4,513.95,513.95,3330049,0.0000,1.0,516.5575,519.9208,47.1013,33.0416,24.7923,-5.5464,-5.5682,-0.0218,14.9120,-40.2559,25.0000,5.0000,492.8361,540.2789,516.5575,1803348748.4600,1944475684.0000
2021-03-26,502.82,508.72,496.68,508.05,508.05,3467797,0.0000,1.0,518.3920,520.5493,45.4344,46.3822,27.8057,-5.5409,-5.7551,-0.2142,15.1106,-94.7086,30.0000,10.0000,490.4599,546.3241,518.3920,1802002037.4674,1941145635.0000
2021-03-25,516.99,518.53,497.0,502.86,502.86,4926764,0.0000,1.0,519.9320,521.8650,43.9587,57.2692,46.5266,-5.4874,-5.3093,0.1781,14.9714,-91.9186,35.0000,15.0000,491.0697,548.7943,519.9320,1798920191.2963,1937677838.0000
2021-03-24,533.78,534.42,520.0,520.81,520.81,4102211,0.0000,1.0,522.1240,523.8655,48.2458,53.3086,64.8141,-5.5319,-4.1345,1.3973,14.8334,9.8035,40.0000,20.0000,492.1435,552.1045,522.1240,1801165038.2466,1942604602.0000
2021-03-23,529.87,543.12,529.4,535.09,535.09,5583461,0.0000,1.0,523.7540,524.1871,52.0849,43.1367,60.4670,-5.8812,-4.4027,1.4785,15.3557,56.6469,45.0000,25.0000,490.8356,556.6724,523.7540,1804806390.5906,1946706813.0000
2021-03-22,509.13,529.31,509.13,523.11,523.11,3360587,0.0000,1.0,524.3070,523.0394,48.8404,38.2608,34.6446,-6.2509,-6.1348,0.1160,16.1041,-20.6329,50.0000,30.0000,490.2922,558.3218,524.3070,1805758671.8398,1941123352.0000
2021-03-19,504.96,513.19,501.63,512.18,512.18,4386360,0.0000,1.0,524.8405,523.0320,45.6507,48.5500,34.2985,-6.2799,-7.0367,-0.7568,16.5049,-79.2380,55.0000,35.0000,490.5836,559.0974,524.8405,1804463063.9677,1937762765.0000
2021-03-18,516.3959,517.9,503.85,504.79,504.79,4096606,0.0000,1.0,526.2425,524.1743,43.3834,59.0430,45.8394,-6.0907,-6.9725,-0.8818,16.2357,-87.7052,60.0000,40.0000,491.8780,560.6070,526.2425,1800843178.6390,1933376405.0000
2021-03-17,522.0,528.3654,514.3,524.44,524.44,2817376,0.0000,1.0,528.4140,526.2148,48.4937,67.1332,65.5120,-5.8702,-6.0368,-0.1666,16.0188,-31.4834,65.0000,45.0000,494.2582,562.5698,528.4140,1804391626.6831,1937473011.0000
2021-03-16,524.47,533.42,523.21,524.03,524.03,3238888,0.0000,1.0,529.7590,526.4016,48.3732,65.1159,65.7775,-5.8286,-6.7554,-0.9268,16.1153,-15.5870,70.0000,0.0000,494.2436,565.2744,529.7590,1803146808.5556,1934655635.0000
2021-03-15,516.32,520.729,508.03,520.25,520.25,3485519,0.0000,1.0,531.4215,526.6512,47.2927,58.2671,70.1103,-5.5969,-7.5325,-1.9357,16.5195,-66.0529,75.0000,5.0000,494.0691,568.7739,531.4215,1805865444.2226,1931416747.0000
2021-03-12,512.5,526.51,506.59,518.02,518.02,3981743,0.0000,1.0,533.2350,527.3251,46.6672,41.0786,59.4600,-5.1129,-8.0300,-2.9171,16.3761,-71.3469,80.0000,0.0000,494.7243,571.7457,533.2350,1802642869.3286,1927931228.0000
