,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD_Signal,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-04-15,91.75,91.96,89.445,90.27,90.27,16017043,0.0000,1.0,90.3155,91.0504,51.6164,32.5322,13.3459,-0.1225,1.4706,1.3481,16.0021,1.2924,85.0000,30.0000,90.3155,82.8849,97.7461,-1002993019.7719,2325517538.0000
2021-04-14,91.66,92.53,89.51,90.67,90.67,19117367,0.0000,1.0,90.5400,91.1325,52.1394,52.5055,32.6881,0.1120,1.5012,1.6132,16.6199,5.4287,90.0000,35.0000,90.5400,82.8613,98.2187,-997484175.9568,2341534581.0000
2021-04-13,96.29,96.82,91.4,92.15,92.15,27102073,0.0000,1.0,90.5780,91.1812,54.0651,66.9415,51.5625,0.4141,1.4733,1.8874,17.2590,56.6657,95.0000,40.0000,90.5780,82.8896,98.2664,-993052998.1753,2360651948.0000
2021-04-12,95.19,96.96,94.75,95.59,95.59,18818295,0.0000,1.0,90.4130,91.0793,58.8659,75.5013,73.2659,0.6894,1.3697,2.0592,17.6023,108.0487,100.0000,45.0000,90.4130,82.7249,98.1011,-973451498.8838,2387754021.0000
2021-04-09,94.3448,95.38,93.31,95.3,95.3,14080213,0.0000,1.0,90.0220,90.6044,58.5713,78.1195,75.9960,0.7009,1.1974,1.8982,17.3098,96.4552,95.0000,50.0000,90.0220,82.6375,97.4065,-968938514.1101,2368935726.0000
2021-04-08,95.0,96.39,93.78,95.29,95.29,17815590,0.0000,1.0,89.7225,90.1102,58.5616,80.2465,77.2421,0.6726,1.0222,1.6947,17.2161,119.0654,100.0000,55.0000,89.7225,82.7438,96.7012,-981930401.4676,2354855513.0000
2021-04-07,94.25,95.07,92.54,93.96,93.96,17621496,0.0000,1.0,89.2285,89.5649,57.2953,83.5071,81.1202,0.5573,0.8540,1.4113,17.0222,105.6466,95.0000,60.0000,89.2285,82.5019,95.9551,-984729019.0538,2337039923.0000
2021-04-06,93.84,96.1018,92.66,93.49,93.49,22847008,0.0000,1.0,88.9955,89.1023,56.8526,84.1118,82.3773,0.4498,0.7147,1.1645,16.9939,127.9285,100.0000,65.0000,88.9955,82.6274,95.3636,-986888174.6901,2319418427.0000
2021-04-05,93.9265,94.67,92.47,93.75,93.75,19795131,0.0000,1.0,88.5735,88.6404,57.1640,81.5887,87.0239,0.2782,0.6022,0.8804,16.9414,137.9323,40.0000,70.0000,88.5735,82.3354,94.8116,-975060410.4812,2342265435.0000
2021-04-01,93.0,94.38,91.25,92.41,92.41,39700637,0.0000,1.0,88.3325,88.1026,55.9836,74.5160,82.9343,-0.0542,0.5327,0.4785,17.0730,134.2387,45.0000,75.0000,88.3325,82.5577,94.1073,-978299613.7357,2322470304.0000
2021-03-31,87.44,89.08,86.71,88.21,88.21,25372290,0.0000,1.0,87.9285,87.6492,52.0492,63.4252,74.8077,-0.4513,0.5462,0.0950,17.2493,0.6524,50.0000,80.0000,87.9285,82.2212,93.6358,-968025646.9721,2282769667.0000
2021-03-30,86.26,87.22,85.25,86.54,86.54,13896963,0.0000,1.0,87.9735,87.5901,50.3737,48.8400,65.8060,-0.6273,0.6591,0.0318,18.1044,-55.4283,55.0000,85.0000,87.9735,82.2438,93.7032,-974770179.7570,2257397377.0000
2021-03-29,87.755,88.2499,85.77,86.59,86.59,21772814,0.0000,1.0,88.2010,87.7007,50.4238,30.7248,49.6618,-0.6953,0.8159,0.1206,18.6837,-44.7883,0.0000,90.0000,88.2010,82.3569,94.0451,-979073300.2798,2271294340.0000
2021-03-26,84.16,88.14,84.03,87.99,87.99,23949134,0.0000,1.0,88.6095,87.8176,51.7945,18.7370,31.0522,-0.7625,0.9897,0.2272,19.3732,-54.4587,5.0000,95.0000,88.6095,82.1619,95.0571,-971699218.0674,2293067154.0000
2021-03-25,81.142,84.43,80.49,84.09,84.09,23630211,0.0000,1.0,88.7865,87.7994,48.0578,18.0641,11.4604,-0.9629,1.1803,0.2174,20.0807,-157.4803,10.0000,100.0000,88.7865,82.2234,95.3496,-993900240.0966,2269118020.0000
2021-03-24,87.06,87.15,82.92,83.0,83.0,24232794,0.0000,1.0,88.9880,88.1899,46.9663,27.8427,13.6984,-0.8223,1.4211,0.5988,20.1699,-145.9287,15.0000,30.0000,88.9880,82.7759,95.2001,-1013452140.5686,2245487809.0000
