,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Signal,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-03-04,3012.0,3058.13,2945.43,2977.57,2977.57,5481578,0.0000,1.0,3210.0665,3164.2838,36.7861,20.3486,34.1348,-58.0596,-28.1686,-29.8910,14.8525,-153.9542,100.0000,0.0000,3210.0665,2985.2381,3434.8949,1810170893.3375,1267604121.0000
2021-03-03,3081.18,3107.775,2995.0,3005.0,3005.0,3988725,0.0000,1.0,3226.8145,3183.9379,37.9872,37.1466,38.1481,-47.9756,-20.6959,-27.2797,13.9022,-148.7384,100.0000,5.0000,3226.8145,3025.0357,3428.5933,1812525977.6920,1273085699.0000
2021-03-02,3143.47,3163.52,3087.1201,3094.53,3094.53,2595762,0.0000,1.0,3245.5645,3202.7735,42.2664,44.9092,32.3226,-37.1997,-13.8759,-23.3238,13.1536,-110.7728,90.0000,10.0000,3245.5645,3060.7369,3430.3921,1815807325.1704,1277074424.0000
2021-03-01,3127.89,3149.56,3097.99,3146.14,3146.14,2733963,0.0000,1.0,3257.9820,3214.1675,45.0452,32.3885,25.3030,-32.0205,-8.0450,-23.9755,12.9099,-116.2638,95.0000,15.0000,3257.9820,3082.2656,3433.6984,1817899569.8401,1279670186.0000
2021-02-26,3095.2,3122.44,3036.7,3092.93,3092.93,4246135,0.0000,1.0,3260.9850,3221.3283,41.2629,19.6702,22.6599,-30.1990,-2.0511,-28.1479,12.5223,-176.4130,100.0000,20.0000,3260.9850,3091.0593,3430.9107,1815528226.7144,1276936223.0000
2021-02-25,3136.74,3178.26,3047.76,3057.16,3057.16,4399320,0.0000,1.0,3268.2195,3234.8439,38.5624,23.8503,23.0196,-22.0172,4.9859,-27.0031,11.8571,-209.0768,100.0000,25.0000,3268.2195,3116.1469,3420.2921,1814204961.8765,1272690088.0000
2021-02-24,3166.75,3171.23,3125.38,3159.53,3159.53,3011275,0.0000,1.0,3276.9905,3253.5475,44.0712,24.4592,27.4729,-7.6119,11.7366,-19.3485,11.2199,-181.7285,95.0000,30.0000,3276.9905,3157.9814,3395.9996,1817970510.1064,1277089408.0000
2021-02-23,3127.03,3204.73,3093.6,3194.5,3194.5,4677222,0.0000,1.0,3285.3205,3263.4441,46.2137,20.7493,40.7096,0.4621,16.5738,-16.1117,11.0267,-198.2236,100.0000,35.0000,3285.3205,3177.5748,3393.0662,1816496069.0214,1280100683.0000
2021-02-22,3208.13,3232.3199,3172.26,3180.74,3180.74,3461266,0.0000,1.0,3290.2955,3270.7014,45.2182,37.2103,57.2047,7.2002,20.6017,-13.4015,10.8234,-187.3330,100.0000,40.0000,3290.2955,3190.9198,3389.6712,1812679964.2905,1275423461.0000
2021-02-19,3328.23,3333.5,3245.75,3249.9,3249.9,4305184,0.0000,1.0,3295.8700,3280.1710,49.6017,64.1692,61.8849,17.0967,23.9521,-6.8554,11.1584,-50.8329,30.0000,45.0000,3295.8700,3210.1291,3381.6109,1815163821.5476,1278884727.0000
2021-02-18,3282.42,3338.0,3273.94,3328.23,3328.23,3033607,0.0000,1.0,3298.7245,3283.3574,55.3779,70.2347,49.2364,22.4378,25.6659,-3.2281,11.3667,28.3909,0.0000,50.0000,3298.7245,3215.5320,3381.9170,1819061791.5624,1283189911.0000
2021-02-17,3263.6,3320.91,3259.4996,3308.64,3308.64,3261801,0.0000,1.0,3295.4820,3278.6340,54.1082,51.2507,33.7265,20.9532,26.4729,-5.5197,11.3235,-1.8873,0.0000,55.0000,3295.4820,3212.0873,3378.8767,1816953515.2021,1280156304.0000
2021-02-16,3254.05,3308.3,3253.591,3268.95,3268.95,2574721,0.0000,1.0,3286.0880,3275.4755,51.4491,26.2237,22.7363,20.7482,27.8529,-7.1047,11.4052,-18.5157,0.0000,60.0000,3286.0880,3173.5153,3398.6607,1814995151.3486,1276894503.0000
2021-02-12,3250.0,3280.25,3233.31,3277.71,3277.71,2335339,0.0000,1.0,3277.8530,3276.1623,52.0818,23.7051,22.0894,24.2258,29.6291,-5.4032,11.5848,-21.6397,5.0000,65.0000,3277.8530,3140.1736,3415.5324,1816124218.4401,1279469224.0000
2021-02-11,3292.0,3292.0,3248.06,3262.13,3262.13,2301417,0.0000,1.0,3270.3410,3275.9994,51.0650,18.2800,25.8794,27.4203,30.9799,-3.5595,11.9840,-7.8088,10.0000,70.0000,3270.3410,3117.8520,3422.8300,1814041617.4486,1277133885.0000
2021-02-10,3314.0,3317.9548,3254.0,3286.58,3286.58,3125174,0.0000,1.0,3265.5290,3277.4594,52.7333,24.2831,36.0633,32.6851,31.8697,0.8154,12.2829,17.8563,0.0000,75.0000,3265.5290,3106.3788,3424.6792,1814869163.8437,1279435302.0000
2021-02-09,3312.49,3338.0,3297.84,3305.0,3305.0,2179355,0.0000,1.0,3257.2415,3276.4993,53.9958,35.0753,46.7332,36.4401,31.6659,4.7742,12.5497,48.9440,5.0000,80.0000,3257.2415,3086.4990,3427.9840,1814810271.3180,1282560476.0000
2021-02-08,3358.5,3364.9999,3304.0,3322.94,3322.94,3257391,0.0000,1.0,3247.7020,3273.4992,55.2191,48.8316,56.1952,38.8272,30.4723,8.3548,12.4705,68.0624,10.0000,85.0000,3247.7020,3067.6342,3427.7698,1816212525.6307,1284739831.0000
2021-02-05,3319.0,3377.0,3302.71,3352.15,3352.15,3620808,0.0000,1.0,3240.6900,3268.2949,57.2243,56.2927,65.1647,39.4827,28.3836,11.0990,12.3357,85.3761,15.0000,90.0000,3240.6900,3061.9705,3419.4095,1817447126.9035,1287997222.0000
2021-02-04,3330.0,3347.0,3277.75,3331.0,3331.0,3670661,0.0000,1.0,3231.1905,3259.4681,56.1284,63.4611,67.2880,36.7709,25.6089,11.1620,12.1937,72.1245,20.0000,95.0000,3231.1905,3057.0400,3405.3410,1816248638.9681,1284376414.0000
2021-02-03,3425.01,3434.0,3308.62,3312.53,3312.53,7088781,0.0000,1.0,3221.5595,3251.9384,55.1757,75.7402,60.2558,34.9282,22.8184,12.1099,12.2197,107.9311,25.0000,100.0000,3221.5595,3049.2582,3393.8608,1814274167.8887,1280705753.0000
2021-02-02,3380.0,3427.74,3361.125,3380.0,3380.0,6183716,0.0000,1.0,3216.8585,3245.5604,59.6726,62.6626,40.3213,33.9489,19.7909,14.1580,12.0127,158.9537,30.0000,100.0000,3216.8585,3049.6877,3384.0293,1820920818.8248,1287794534.0000
2021-02-01,3242.36,3350.26,3235.025,3342.88,3342.88,4160212,0.0000,1.0,3207.1900,3231.4088,57.8783,42.3648,32.2945,25.3355,16.2514,9.0841,11.3737,107.2558,35.0000,75.0000,3207.1900,3057.4172,3356.9628,1823600289.8499,1281610818.0000
2021-01-29,3230.0,3236.99,3184.55,3206.2,3206.2,4293556,0.0000,1.0,3202.8925,3219.6750,50.1143,15.9365,37.0821,17.7526,13.9804,3.7722,11.1277,2.3985,40.0000,80.0000,3202.8925,3064.4350,3341.3500,1819972943.1176,1277450606.0000
2021-01-28,3235.04,3301.68,3228.69,3237.62,3237.62,3149228,0.0000,1.0,3206.8750,3221.0934,52.2162,38.5823,57.5136,21.7323,13.0374,8.6949,11.6388,45.6560,45.0000,85.0000,3206.8750,3063.7623,3349.9877,1820721286.0207,1281744162.0000
2021-01-27,3341.49,3346.52,3207.08,3232.58,3232.58,4660158,0.0000,1.0,3211.0940,3219.3538,51.9088,56.7274,70.7952,23.2967,10.8636,12.4330,11.8087,46.2759,50.0000,90.0000,3211.0940,3059.8599,3362.3281,1823099926.1035,1278594934.0000
2021-01-26,3296.3559,3338.0,3282.87,3326.13,3326.13,2955235,0.0000,1.0,3213.6630,3217.9616,58.5500,77.2310,79.9390,25.4677,7.7554,17.7123,11.9875,100.0092,55.0000,95.0000,3213.6630,3059.3422,3367.9838,1826055637.3306,1283255092.0000
2021-01-25,3328.5,3363.89,3243.1463,3294.0,3294.0,3749758,0.0000,1.0,3205.9910,3206.5754,56.7443,78.4271,77.3224,18.3431,3.3273,15.0158,11.4929,98.4255,60.0000,100.0000,3205.9910,3059.7533,3352.2287,1824372981.3058,1280299857.0000
