,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2021-03-22,684.59,699.62,668.75,670.0,670.0,39512221,0.0000,1.0,671.9335,688.6056,45.9938,30.6979,36.8157,-27.8759,-23.3868,4.4891,27.4278,20.3260,45.0000,0.0000,591.3274,671.9335,752.5396,3469843775.6368,5138045807.0000
2021-03-19,646.6,657.23,624.6201,654.87,654.87,42893978,0.0000,1.0,674.1585,690.5640,44.3727,39.7758,49.7366,-28.9981,-24.7380,4.2602,27.9075,-64.9275,50.0000,0.0000,591.4592,674.1585,756.8578,3506156108.3148,5098533586.0000
2021-03-18,684.29,689.23,652.0,653.16,653.16,33369022,0.0000,1.0,680.4800,694.3213,44.1929,39.9735,59.9787,-30.0632,-24.5623,5.5009,27.7845,-34.5907,55.0000,5.0000,586.1361,680.4800,774.8239,3469470661.3486,5055639608.0000
2021-03-17,656.87,703.73,651.01,701.81,701.81,40372453,0.0000,1.0,687.1910,698.6541,48.4245,69.4605,76.2679,-31.4384,-23.8066,7.6318,27.8972,-2.4977,60.0000,0.0000,582.9947,687.1910,791.3873,3500760281.4942,5089008630.0000
2021-03-16,703.35,707.92,671.0,676.88,676.88,32195672,0.0000,1.0,692.0080,698.3219,45.9028,70.5020,80.5242,-33.3464,-27.4493,5.8971,28.0159,-11.1680,65.0000,0.0000,577.1877,692.0080,806.8283,3463328462.4001,5048636177.0000
2021-03-15,694.09,713.18,684.04,707.94,707.94,29423479,0.0000,1.0,697.9750,700.5789,48.7224,88.8411,84.2490,-34.8206,-29.1611,5.6596,28.3185,5.9096,70.0000,5.0000,574.8185,697.9750,821.1315,3485268958.2701,5080831849.0000
2021-03-12,670.0,694.88,666.1394,693.73,693.73,33583840,0.0000,1.0,703.3840,699.8041,47.3159,82.2294,73.3249,-36.2355,-34.0842,2.1513,28.7557,-23.6665,75.0000,0.0000,569.8838,703.3840,836.8842,3466427430.5371,5051408370.0000
2021-03-11,699.4,702.5,677.18,699.6,699.6,36253892,0.0000,1.0,709.2805,700.4434,47.8307,81.6766,60.1718,-36.7733,-38.4254,-1.6521,28.9620,-19.3438,80.0000,0.0000,567.8262,709.2805,850.7348,3435531176.4608,5084992210.0000
2021-03-10,700.3,717.85,655.06,668.06,668.06,60605672,0.0000,1.0,714.5415,700.5322,44.7627,56.0688,39.9280,-36.3603,-44.0051,-7.6447,29.2725,-38.2336,85.0000,0.0000,567.2139,714.5415,861.8691,3407581888.4734,5048738318.0000
2021-03-09,608.18,678.09,595.21,673.58,673.58,67523328,0.0000,1.0,723.6115,703.9503,45.2047,42.7700,26.9761,-34.4491,-47.2753,-12.8262,29.5993,-75.3145,90.0000,0.0000,566.8159,723.6115,880.4071,3443092044.1173,5109343990.0000
2021-03-08,600.55,620.125,558.79,563.0,563.0,51786958,0.0000,1.0,733.1035,707.1472,32.5248,20.9452,18.3808,-31.2426,-51.3237,-20.0811,29.4060,-147.0896,95.0000,5.0000,566.8714,733.1035,899.3356,3382917418.0787,5041820662.0000
2021-03-05,626.06,627.8419,539.49,597.95,597.95,89396459,0.0000,1.0,747.5650,722.3206,34.9534,17.2132,23.8615,-26.2223,-44.4854,-18.2631,28.2920,-156.7762,100.0000,10.0000,593.1378,747.5650,901.9922,3427595120.5744,5093607620.0000
2021-03-04,655.8,668.45,600.0,621.44,621.44,64799898,0.0000,1.0,760.1670,735.4122,36.7033,16.9841,34.5911,-21.6566,-38.6687,-17.0121,27.1193,-137.6192,100.0000,0.0000,615.8279,760.1670,904.5061,3398689268.1778,5183004079.0000
2021-03-03,687.99,700.7,651.705,653.2,653.2,30207960,0.0000,1.0,771.8295,747.4093,39.2257,37.3873,45.8480,-17.4035,-33.0737,-15.6702,26.2473,-116.4579,70.0000,0.0000,636.8199,771.8295,906.8391,3422895745.7798,5247803977.0000
2021-03-02,718.28,721.11,685.0,686.44,686.44,23732158,0.0000,1.0,782.8090,757.3261,42.1025,49.4020,49.2240,-13.4860,-28.6851,-15.1991,25.7075,-101.1489,75.0000,5.0000,652.5423,782.8090,913.0757,3451260215.6196,5278011937.0000
2021-03-01,690.11,719.0,685.05,718.43,718.43,27136239,0.0000,1.0,790.4775,764.7878,45.1285,50.7547,49.3013,-9.6862,-26.0509,-16.3647,25.4221,-103.7432,80.0000,10.0000,665.8717,790.4775,915.0833,3473099584.5019,5301744095.0000
2021-02-26,700.0,706.7,659.51,675.5,675.5,39767316,0.0000,1.0,794.2325,769.6676,39.5935,47.5152,45.4080,-5.5950,-25.5670,-19.9720,25.0864,-156.8259,85.0000,15.0000,674.0913,794.2325,914.3737,3446874547.6362,5274607856.0000
2021-02-25,726.15,737.2066,670.58,682.22,682.22,38126722,0.0000,1.0,802.2290,779.5799,40.1965,49.6341,38.5397,-0.6020,-20.2063,-19.6043,24.5305,-166.0951,90.0000,0.0000,694.0713,802.2290,910.3867,3459692112.2974,5314375172.0000
2021-02-24,711.85,745.0,694.17,742.02,742.02,36766950,0.0000,1.0,811.3260,789.8283,46.1362,39.0748,30.2130,4.2990,-13.7545,-18.0536,24.0320,-144.2788,95.0000,0.0000,715.1297,811.3260,907.5223,3484496976.5385,5352501894.0000
2021-02-23,662.13,713.6099,619.0,698.84,698.84,66606882,0.0000,1.0,818.3795,794.8608,40.0605,26.9103,29.8239,8.8124,-11.4083,-20.2207,23.6971,-254.5578,100.0000,0.0000,722.8595,818.3795,913.8995,3452041083.4340,5315734944.0000
2021-02-22,762.64,768.5,710.2,714.5,714.5,36594555,0.0000,1.0,827.4775,804.9683,41.6803,24.6539,31.4811,13.8676,-3.8513,-17.7189,22.8354,-202.6528,100.0000,5.0000,745.5367,827.4775,909.4183,3406230692.8467,5382341826.0000
2021-02-19,795.0,796.7899,777.37,781.3,781.3,18958255,0.0000,1.0,834.0845,814.4912,49.8480,37.9076,33.4378,18.2973,4.2558,-14.0415,22.7406,-116.3576,90.0000,10.0000,770.3636,834.0845,897.8054,3437427080.2137,5418936381.0000
