,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2021-02-23,136.38,138.48,134.44,137.12,136.446369889,14425295,0.0000,1.0,149.2825,147.2426,37.1878,16.1835,15.3566,-2.4055,-1.4364,-3.8419,18.6196,-134.7028,100.0000,35.0000,133.8166,164.7484,149.2825,1456814424.4537,455337569.0000
2021-02-22,142.25,144.12,139.08,139.46,138.774874159,12713322,0.0000,1.0,150.6398,148.3790,38.9483,12.7601,18.1890,-2.0464,-1.2824,-3.3288,18.4308,-102.1976,100.0000,40.0000,135.1535,166.1261,150.6398,1452101209.2538,469762864.0000
2021-02-19,144.78,145.85,143.49,144.94,144.227952536,10012495,0.0000,1.0,151.7822,149.3900,43.5332,17.1260,27.1947,-1.7259,-1.1367,-2.8625,18.6528,-74.5487,95.0000,45.0000,136.5975,166.9668,151.7822,1462897443.0163,482476186.0000
2021-02-18,143.54,144.7,142.96,143.91,143.203012622,8411408,0.0000,1.0,152.7678,149.9334,42.3208,24.6810,37.0939,-1.4417,-1.3393,-2.7810,19.3482,-89.7556,100.0000,0.0000,137.1204,168.4152,152.7678,1460606448.3944,472463691.0000
2021-02-17,145.825,146.89,143.4204,144.75,144.03888595,11783744,0.0000,1.0,153.7972,150.6418,43.0367,39.7770,41.0442,-1.1069,-1.4252,-2.5321,19.9360,-89.2172,100.0000,5.0000,138.0934,169.5010,153.7972,1459832985.5907,480875099.0000
2021-02-16,149.0,149.74,146.06,147.16,146.437046331,10211876,0.0000,1.0,154.7435,151.3369,45.1169,46.8237,34.4010,-0.7505,-1.5121,-2.2627,20.6030,-76.1862,90.0000,10.0000,139.2260,170.2610,154.7435,1462585333.4482,492658843.0000
2021-02-12,145.57,151.4,144.865,147.98,147.253017912,9155244,0.0000,1.0,155.2376,151.8526,45.8330,36.5320,22.5442,-0.3725,-1.7576,-2.1301,21.5858,-81.1162,95.0000,15.0000,140.1873,170.2879,155.2376,1466692283.5765,502870719.0000
2021-02-11,145.78,146.57,143.53,145.56,144.844906659,11600207,0.0000,1.0,155.8779,152.3368,43.3104,19.8473,13.0140,0.0669,-2.0798,-2.0129,22.6203,-121.4207,100.0000,20.0000,141.1547,170.6011,155.8779,1467119574.9966,493715475.0000
2021-02-10,147.62,147.75,144.37,145.5,144.785201421,11673126,0.0000,1.0,156.4680,153.1254,43.2481,11.2534,9.6995,0.5868,-2.1758,-1.5889,23.1463,-133.8832,100.0000,25.0000,142.6422,170.2938,156.4680,1463227400.2793,482115268.0000
2021-02-09,147.55,148.5,145.9,146.11,145.392204671,11597795,0.0000,1.0,156.9133,154.0033,43.7117,7.9413,14.9708,1.1308,-2.1494,-1.0186,23.7811,-140.4325,90.0000,30.0000,144.0835,169.7431,156.9133,1467095418.3644,493788394.0000
2021-02-08,147.1,147.6,145.3,147.38,146.655965535,12181636,0.0000,1.0,157.4109,154.9098,44.6586,9.9039,31.3414,1.6681,-2.0057,-0.3376,24.5967,-163.4941,95.0000,35.0000,145.6823,169.1394,157.4109,1476819723.4024,505386189.0000
2021-02-05,148.85,148.9,144.62,145.84,145.123531101,24695403,0.0000,1.0,157.8716,155.7786,43.2423,27.0671,53.9416,2.1695,-1.7617,0.4078,25.3531,-193.8644,100.0000,40.0000,147.1921,168.5511,157.8716,1466968487.3344,493204553.0000
2021-02-04,150.18,151.78,145.2,147.97,147.24306704,46141763,0.0000,1.0,158.3622,156.9002,44.7470,57.0532,66.5428,2.6100,-1.1006,1.5094,26.1493,-189.8144,100.0000,45.0000,149.2897,167.4347,158.3622,1477585202.6430,517899956.0000
2021-02-03,167.5765,167.58,161.8,162.3,161.502667977,14156672,0.0000,1.0,158.5224,157.9167,57.5450,77.7046,60.7765,2.8851,-0.2076,2.6776,27.0372,80.6966,0.0000,50.0000,150.1552,166.8896,158.5224,1484878125.6577,564041719.0000
2021-02-02,164.51,165.38,161.3,164.78,163.970484468,6814706,0.0000,1.0,158.0313,157.5392,60.3845,64.8706,40.6260,2.9370,-0.2593,2.6778,27.0335,87.8716,0.0000,55.0000,149.2775,166.7851,158.0313,1496585546.4442,578198391.0000
2021-02-01,157.37,162.4,156.49,161.58,160.786205124,8265129,0.0000,1.0,157.2213,156.8623,57.8341,39.7544,24.5668,3.0018,-0.6140,2.3878,27.2335,35.1436,5.0000,60.0000,147.8401,166.6025,157.2213,1491775165.7386,571383685.0000
2021-01-29,160.2465,160.635,154.75,156.28,155.512242461,9502087,0.0000,1.0,156.7616,156.4492,53.0814,17.2530,21.6323,3.1553,-0.8481,2.3072,27.7410,-7.8550,10.0000,65.0000,147.2243,166.2988,156.7616,1485803575.0741,563118556.0000
