,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-04-06,308.8365,311.35,305.25,306.26,306.26,17335246,0.0000,1.0,284.6970,286.7811,63.5176,85.6831,84.9976,8.9103,2.2795,6.6307,22.7741,155.9518,100.0000,0.0000,284.6970,260.6167,308.7773,1586793732.4849,5391839048.0000
2021-04-05,300.89,310.765,300.68,308.91,308.91,28237006,0.0000,1.0,282.1495,284.7307,65.1804,89.0639,80.9328,8.2376,2.1768,6.0608,21.5172,168.5161,100.0000,5.0000,282.1495,256.9776,307.3214,1598388454.3996,5409174294.0000
2021-04-01,298.4,302.4,296.6,298.66,298.66,17615980,0.0000,1.0,279.9180,282.1855,61.4746,80.2459,68.4643,6.9895,1.4729,5.5166,20.2163,132.7823,100.0000,0.0000,279.9180,256.8021,303.0339,1580539082.7338,5380937288.0000
2021-03-31,289.99,296.5,288.61,294.53,294.53,19498157,0.0000,1.0,277.8670,280.4514,59.8385,73.4885,52.0553,6.3384,1.1900,5.1484,19.1882,101.4894,65.0000,5.0000,277.8670,254.4890,301.2450,1585641642.4579,5363321308.0000
2021-03-30,289.83,292.47,286.7,288.0,288.0,17474537,0.0000,1.0,275.9110,278.9694,57.1021,51.6586,32.7290,5.8357,0.9848,4.8509,18.3847,82.1134,70.0000,10.0000,275.9110,251.8994,299.9226,1575880207.7114,5343823151.0000
2021-03-29,285.77,293.18,284.7,290.82,290.82,21718831,0.0000,1.0,274.4610,278.0188,58.7442,31.0187,24.9731,5.7740,1.1693,4.6047,17.7475,93.3417,75.0000,15.0000,274.4610,250.0455,298.8765,1585480603.2556,5361297688.0000
2021-03-26,278.3018,284.5,277.77,283.02,283.02,17629185,0.0000,1.0,273.1655,276.6713,55.3719,15.5097,31.9567,5.3242,1.0118,4.3124,17.0768,53.9640,80.0000,20.0000,273.1655,249.6257,296.7053,1575850555.5481,5339578857.0000
2021-03-25,280.98,288.06,277.75,278.74,278.74,24505648,0.0000,1.0,271.8955,276.0030,53.3857,28.3907,51.9893,5.4668,1.4074,4.0594,16.8582,58.5054,85.0000,25.0000,271.8955,247.8834,295.9076,1565975068.5570,5321949672.0000
2021-03-24,291.0,291.72,281.16,282.14,282.14,18675046,0.0000,1.0,270.6930,275.7149,55.2411,51.9696,68.0715,6.0051,2.2975,3.7076,16.6280,87.1248,90.0000,30.0000,270.6930,245.7805,295.6055,1585774491.2379,5346455320.0000
2021-03-23,293.15,298.0,289.81,290.63,290.63,23000929,0.0000,1.0,269.8015,275.0386,60.2048,75.6075,77.9339,6.2586,3.1254,3.1332,16.0695,150.4566,95.0000,35.0000,269.8015,245.3189,294.2841,1600983335.5182,5365130366.0000
2021-03-22,290.45,299.705,286.7501,293.54,293.54,28273073,0.0000,1.0,268.5627,273.3974,62.0194,76.6374,79.4980,5.6266,3.2748,2.3518,14.5728,186.4341,100.0000,40.0000,268.5627,245.9882,291.1373,1619378461.8857,5388131295.0000
2021-03-19,281.22,292.8,281.195,290.11,290.11,38930536,0.0000,1.0,266.9022,271.2771,60.6928,81.5569,81.9768,4.4420,2.9088,1.5331,12.9974,189.8352,100.0000,45.0000,266.9022,247.2207,286.5838,1618014665.6914,5359858222.0000
2021-03-18,279.87,285.1899,278.28,278.62,278.62,18754853,0.0000,1.0,265.4747,269.2947,55.7771,80.2996,79.3070,3.2145,2.4086,0.8059,11.6555,165.6380,95.0000,50.0000,265.4747,248.8254,282.1241,1597132064.5195,5320927686.0000
2021-03-17,275.705,286.23,275.41,284.01,284.01,21315044,0.0000,1.0,265.0132,268.3131,59.0691,84.0740,76.7505,2.7710,2.5672,0.2038,10.6572,212.3006,100.0000,55.0000,265.0132,249.3654,280.6611,1614041261.2813,5339682539.0000
2021-03-16,276.085,282.14,274.8,279.28,279.28,22437665,0.0000,1.0,264.4912,266.6608,56.9510,73.5473,72.5617,1.6157,2.0537,-0.4380,9.6063,202.2144,100.0000,60.0000,264.4912,250.8445,278.1380,1601472871.1963,5318367495.0000
2021-03-15,269.08,275.96,268.5,273.75,273.75,16856746,0.0000,1.0,264.2257,265.3325,54.3257,72.6302,74.4387,0.5993,1.5508,-0.9515,8.7417,128.1965,90.0000,65.0000,264.2257,251.5696,276.8819,1596520689.0028,5295929830.0000
2021-03-12,269.14,269.74,264.02,268.4,268.4,20600198,0.0000,1.0,264.0632,264.4464,51.6138,71.5075,68.9875,-0.1436,1.1955,-1.3392,8.2402,49.6331,95.0000,70.0000,264.0632,251.8238,276.3027,1589651452.0270,5279073084.0000
2021-03-11,268.11,277.9,267.82,273.88,273.88,21833979,0.0000,1.0,264.1628,264.0302,54.7787,79.1784,64.7899,-0.5451,1.0929,-1.6380,8.1921,133.4992,100.0000,75.0000,264.1628,251.7527,276.5728,1578703095.0479,5299673282.0000
2021-03-10,268.64,268.97,262.87,264.9,264.9,14210318,0.0000,1.0,264.0623,262.9934,50.0063,56.2766,52.4689,-1.6076,0.3037,-1.9113,7.7439,19.1867,20.0000,80.0000,264.0623,251.9394,276.1851,1574284313.5837,5277839303.0000
2021-03-09,261.175,268.53,259.81,265.74,265.74,22039740,0.0000,1.0,264.2898,262.7927,50.4797,58.9146,47.4395,-2.0259,-0.0387,-1.9872,8.0732,2.0212,25.0000,85.0000,264.2898,251.9438,276.6357,1579036616.6525,5292049621.0000
2021-03-08,265.55,265.58,255.05,255.31,255.31,18391768,0.0000,1.0,264.3317,262.4825,44.2545,42.2155,36.7357,-2.6160,-0.6385,-1.9775,8.4646,-87.0138,30.0000,90.0000,264.3317,251.9607,276.7028,1571100288.2580,5270009881.0000
2021-03-05,260.67,265.45,255.61,264.28,264.28,26820055,0.0000,1.0,264.9712,263.2375,49.3200,41.1883,37.1159,-2.2691,-0.4512,-1.8179,8.6395,-49.4761,35.0000,95.0000,264.9712,253.2252,276.7173,1588583820.8012,5288401649.0000
2021-03-04,256.47,266.49,253.5,257.64,257.64,31626463,0.0000,1.0,265.0817,263.1277,44.8834,26.8032,39.6225,-2.7067,-1.0016,-1.7051,8.8764,-93.0377,40.0000,100.0000,265.0817,253.3223,276.8412,1568141705.7098,5261581594.0000
2021-03-03,260.29,260.9899,255.1,255.41,255.41,15513515,0.0000,1.0,265.5322,263.7054,43.2998,43.3561,43.0970,-2.5497,-1.0950,-1.4547,9.1259,-138.4725,45.0000,80.0000,265.5322,254.2677,276.7968,1579609037.5596,5229955131.0000
2021-03-02,265.78,266.71,258.65,259.0,259.0,15191722,0.0000,1.0,266.1157,264.5786,45.2899,48.7082,38.1687,-2.0852,-0.9043,-1.1809,8.8201,-86.7895,50.0000,85.0000,266.1157,255.8437,276.3878,1593489523.2552,5245468646.0000
2021-03-01,260.82,266.65,257.9039,264.91,264.91,22157255,0.0000,1.0,266.2663,265.1658,48.7977,37.2267,34.8604,-1.8275,-0.8727,-0.9549,8.8022,-53.5951,55.0000,90.0000,266.2663,256.3330,276.1995,1607361864.9327,5260660368.0000
2021-02-26,256.47,265.55,256.47,257.62,257.62,26313472,0.0000,1.0,265.9373,265.1927,43.6868,28.5713,36.5656,-2.0738,-1.3371,-0.7367,8.7772,-104.2357,0.0000,95.0000,265.9373,255.4270,276.4475,1594020796.2786,5238503113.0000
2021-02-25,262.3,266.94,254.04,254.69,254.69,18430701,0.0000,1.0,266.3062,265.9899,41.4555,38.7831,35.9936,-1.6157,-1.2133,-0.4024,8.6393,-141.9049,5.0000,100.0000,266.3062,256.4950,276.1175,1613668961.4944,5212189641.0000
2021-02-24,262.325,266.38,258.39,264.31,264.31,15736123,0.0000,1.0,267.1788,267.1793,47.3014,42.3424,29.1817,-0.7093,-0.6102,-0.0991,8.4942,-78.2102,10.0000,15.0000,267.1788,258.6327,275.7248,1630242305.0293,5230620342.0000
2021-02-23,259.5,267.46,254.96,265.855,265.855,21924557,0.0000,1.0,268.0658,267.4814,48.3415,26.8554,26.8718,-0.5214,-0.5749,0.0535,8.6879,-88.5371,15.0000,20.0000,268.0658,257.4604,278.6711,1622659817.7264,5246356465.0000
2021-02-22,257.95,263.07,257.53,260.33,260.33,17298474,0.0000,1.0,268.6735,267.6526,44.1710,18.3474,37.1897,-0.4314,-0.6286,0.1972,8.8918,-136.4189,20.0000,25.0000,268.6735,257.2807,280.0663,1606365486.9640,5224431908.0000
2021-02-19,269.86,270.27,260.15,261.56,261.56,25622587,0.0000,1.0,269.3820,268.4233,44.9383,35.4126,53.7560,0.2523,-0.1020,0.3543,8.7061,-94.5944,25.0000,30.0000,269.3820,258.3977,280.3663,1606178138.8702,5241730382.0000
2021-02-18,269.565,271.95,266.03,269.39,269.39,15249134,0.0000,1.0,269.9475,269.1458,50.2132,57.8089,64.1198,0.9961,0.6163,0.3798,8.7084,-17.1634,30.0000,35.0000,269.9475,259.4799,280.4151,1624660835.0263,5267352969.0000
2021-02-17,271.24,273.97,269.58,273.57,273.57,12619051,0.0000,1.0,269.8520,269.1201,53.3915,68.0465,67.5233,1.1337,0.9080,0.2257,9.1385,40.3261,35.0000,0.0000,269.8520,259.3310,280.3730,1622600141.2425,5282602103.0000
2021-02-16,270.8,276.6,270.05,273.97,273.97,15417243,0.0000,1.0,269.2285,268.6517,53.7006,66.5039,67.0968,0.8672,0.8685,-0.0012,9.2668,64.1734,40.0000,0.0000,269.2285,258.1972,280.2598,1612280689.5136,5295221154.0000
2021-02-12,270.52,271.18,268.34,270.5,270.5,9097597,0.0000,1.0,268.0980,268.0919,51.3816,68.0194,65.9597,0.4738,0.6921,-0.2184,9.3583,23.8392,45.0000,0.0000,268.0980,254.8338,281.3622,1609244316.4647,5279803911.0000
2021-02-11,271.89,273.58,268.49,270.39,270.39,12828572,0.0000,1.0,266.8550,267.8384,51.3081,66.7670,65.6503,0.3180,0.7094,-0.3914,9.7942,41.6400,50.0000,5.0000,266.8550,250.4393,283.2707,1604503315.2112,5270706314.0000
